study_word,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
cushion,,0,0,0,3,,,,,14.32933079986833,14.32933079986833,2.2296296296296294,1.903354899957776,,,,,,,,,,,,,683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
book,,0,1,1,2,,,,,16.219803899992257,16.219803899992257,2.074074074074074,1.8462418999988586,,,,,,,,,,,,,683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
tiger,,0,2,2,1,,,,,18.0872116999235,18.0872116999235,3.7925925925925927,1.2420314000919461,,,,,,,,,,,,,683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
piano,,0,3,3,4,,,,,19.354793099919334,19.354793099919334,4.5777777777777775,1.32492889999412,,,,,,,,,,,,,683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
vase,,0,4,4,0,,,,,20.702690500067547,20.702690500067547,1.6333333333333333,1.7599328998476267,,,,,,,,,,,,,683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_o_s_,,,,,0,0,0,8,,,,,22.494655299931765,22.494655299931765,22.494655299931765,0.011128999991342425,"house
",[-0.03518518518518519],[-0.2953703703703704],[1],[0],[0],[7.370482000056654],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,t_g_r,,,,,0,1,1,1,,,,,29.868996999925002,29.868996999925002,29.868996999925002,0.004607199924066663,"tiger
",[0.003703703703703704],[-0.3],[1],[0],[0],[3.6086848000995815],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,o_a_n_e,,,,,0,2,2,9,,,,,33.48501450009644,33.48501450009644,33.48501450009644,0.002769300015643239,orange,[-0.03148148148148148],[-0.29259259259259257],[1],[0],[0],[4.3140606000088155],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,c_s_h_o_n,,,,,0,3,3,3,,,,,37.80173929990269,37.80173929990269,37.80173929990269,0.004496299894526601,cushion,[-0.024074074074074074],[-0.32407407407407407],[1],[0],[0],[4.308834899915382],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,c_m_r_,,,,,0,4,4,6,,,,,42.11831400007941,42.11831400007941,42.11831400007941,0.004578599939122796,camera,[-0.03333333333333333],[-0.30462962962962964],[1],[0],[0],[3.8939008000306785],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_oo_,,,,,0,5,5,2,,,,,46.017941599944606,46.017941599944606,46.017941599944606,0.003816199954599142,book,[-0.03333333333333333],[-0.30462962962962964],[1],[0],[0],[2.5100519999396056],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_p_a_d_,,,,,0,6,6,7,,,,,48.53501429990865,48.53501429990865,48.53501429990865,0.006978699937462807,,[],[],[],[],[],[],[],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_ea_o_,,,,,0,7,7,5,,,,,58.550587200094014,58.550587200094014,58.550587200094014,0.019165199948474765,,[],[],[],[],[],[],[],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_ia_n_,,,,,0,8,8,4,,,,,68.55010710004717,68.55010710004717,68.55010710004717,0.019226399948820472,"piano
",[-0.006481481481481481],[-0.2972222222222222],[1],[0],[0],[4.228149999864399],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
,_a_e,,,,,0,9,9,0,,,,,72.78319290000945,72.78319290000945,72.78319290000945,0.0037865000776946545,page,[-0.009259259259259259],[-0.2972222222222222],[1],[0],[0],[4.810378800146282],['text_3'],683348,001,2022-10-14_11h49.24.083,Wordprimingtask,2022.2.4,60.07994237854613,
